recipient,amount
0x46462Be25a43df8eDf4c922306afE4aCA4245304,0.13
0xC76a5691d3D7E4A69398FD4Ed1588c90d897BE37,0.13
0x0C7BCa59977495b6651f5220Ca74eFA121227bC1,0.14
0x96881a6d9A4d891E52C0E82b83Cf76f989D4A895,0.17
0x835Dae225f5aa01214bd6138d10d66738628c1dc,0.18
0x431AC44Dfed5fC36ed54F408243bdC1B8e2ccF6F,0.18
0x76C747A6fB25F811459F05321AF7FBD4497D5eb8,0.18
0xDAfcE2E0B4872d7B1a92d0786D5402d6B9FE4132,0.18
0xF4F57f4d65C6068FB9Ee7e2690C4AC6e7273f489,0.21
0x4E499588Fe9Fd9B509e2D153F51193EB508b83E0,0.26
0x62cFc31348f662D37Ca6Cc6887778F2d79aEb819,0.32
0xF121fbeceC43e1B616D47285851c20d5fC64431b,0.36
0x3AeBd32e21Ab743495ae1BE0b41390769B526385,0.36
0x8735cbd629DFb8134D6Ed98092DAdaB81D681ad1,0.37
0xA4DD9f99359e09A3A6bc0BC4f685dF8B173c9C8D,0.38
0x18cd0B25309Df2e9c207f4417C5eaa7A7eaA19B8,0.39
0x4D48267E36FfFd8638c1cE5ba98CCf8091D98ca2,0.43
0x2Ae4e5AF458649519a944Efa55D52aF3b9220b63,0.45
0x4BBf13A2673592e01f88E1A4C6208c3b157D0432,0.47
0x871A30f835E293304c153c2EA619316C02658E61,0.54
0xD25DDa7D79f32FF50018CAC3EAf6DC2e2Ce30D02,0.55
0x8B4e76cA6fcf6D0E4fA5336Ef87D4F8bD5ef0aeA,0.55
0x3b9A37aD9a5D101037a8bef3048B5404Ffc0016b,0.62
0x5Abf7CF60F7b9B33E8a5b298CC4eE2C6f5B403FB,0.62
0x6F50142e432B0f6cb851D93430Fd5afaAfa0734a,0.69
0xE0C7B01799776728d1F960b65a67A6990d556F07,0.70
0xDE116dc5d63aCdDaFdd1Ecf91522d6e619304bfE,0.77
0x9182c01E78AEd0cA6D300B313Cde19D266F97AD5,0.79
0x408C1Bb7661aEb6B633823A8261ea832f1f04F1D,0.91
0x376a4e520FAf1398962F501022CA05d063f554C6,0.93
0xC3c99C628Ab482cB655CBC6d88903Fa960dE5102,0.98
0x1c012C98676eAFB6C1D4886a543c4fFf50a43FE0,1.01
0x97E7D075167fE10167a835B8623d55dbb2824Ab3,1.03
0xF66740f3d4aE24F7F8D111A1494b4A16cd09594c,1.06
0x0267ceF0E0Ad7E46b067a0f00624AE387e4eaccf,1.06
0x2Eb3163C68158cFd81AfA9D5818BbFd4bc9439Da,1.13
0x125703A847Ae71Bef09f279a94b205195AE7De2A,1.16
0xeB6918bB6f5f3B1980ADCD2A17CAbcC94afADf2D,1.18
0xc2e083B019513B914B5a1E910035e76259B59B00,1.20
0xE26F4f4A2649DEbC8A01ECf34d5E57D7cf2f301B,1.20
0x601303B24e3DA4503293FF747EB2D323Cfc5F39D,1.31
0x766Ac618375E772E2A3f06E8fE5A437B3E145365,1.33
0xBAD9efAdbf8085055CC5443614af65e5983cfA5a,1.37
0x4857D7a7c8a4a9FcB0D9ad6C413f5a7AbE3A716C,1.39
0xF5A79C88b82BEE71307FcfbB18De8696E0f31862,1.53
0x8e88687CabFB21Fa7Eea14fc445e705D9640B5f6,1.61
0x582BEEf33DB1fE915478349d0627244a40116F57,1.76
