recipient,amount
0xebD65d1b26f715fc87CAF1c12f0CAd36cE44fdf5,0.16
0xa0067A9Ea8377dd27950007b44fb790405cD2f12,0.17
0x2b49809813Bb676819F7c8011B0db971cdA57E7b,0.18
0xFBb486C53F209b3F0991A6E77233D367630697f2,0.46
0x661aB60b9c4637ADdC475F65de417c478da11A26,0.64
0x5688D6bf4e6b49b83f017AAF4F76224B0CbcA41b,0.69
0xA951d4Fce3E6ee209C855421aeC8A37Af33b8C07,0.83
0xEa437F533c07E318e5bc01f2aD35C39beb3311C9,1.22
0xd6569809f2F05BeEeDA51FD7f01b3489EF759975,1.27
0x28f17BD6BA2dfA8308f7fD03BA3fb656Ae57d540,1.41
0x3462e50CF7E5d8C5FAe4570cd3891F032b48bde8,1.84
0x4B670646AeE81273780Be150CCD03e7436a36aB1,2.34
0xc80a5430D22e8f96B9fBf0d4d0925Bc9E60daa1c,4.12
0x81762E633e2ff343422e65A5D67Ec6AcE60Bbe65,5.21
0x7bA3c3BFC0F95cc5eF4Aa0B58b51F6eEcc24ce45,5.43
0x26Cb1DBAd7349B57af814A22718D04d0fCdfbeB1,6.70
0xAeb055eDd6B843aff4843AF84C687Ab25c9cC885,6.81
0x7676b134E88bACB4e0C6c9b34d80C94c77E89232,8.30
0xACf19E0Cb91017E74c5B788110E0b203736235fE,8.50
0xd7be32E32347d8C21E50280A521A037c05B45fAE,8.52
0x5fb26bC79a361Ef36a7b4eae36FEe62cFa52f64e,8.57
0x83bACd979A331a97d65fE5bf3fD1373F5c27B372,8.78
0x97c53A310a94bad23877e950b9Ec26C1c7D19F4b,8.80
0xeC62F25F0db55EA086c476fa695DD56Dc2b2bEf2,14.45
0xbA8D35B178C8CB9F1f29D86c94B5fD8aa5EFf462,23.57
0xF55ec984218afF3648E5176FAbB03F7Dbc6C4696,26.40
0xd3DdC8461663e8eC49A4d6bcF54C70734167dB1C,28.56
0x402904E954aebEE2E78b7B09595393cf05571333,34.75
0x81Fe712bACD1a1f06601946469AD1ab631abeA04,39.57
0x17ae2F9eb1Bb329C0f0B56187f76e9400DDCf172,41.48
0xCef13dAa45cA6CA8B1af80E20280c7E5f6016B3c,44.03
0x5C5082eE760e4F4e6dA47bee7311137B593c077b,48.59
0xbD3Df1969B930aC3521552Af2947ceF0C1638107,57.72
0xc1272aa47B2B0fBFCA527Da221F02c7b274A02e8,59.24
0x15ea23Caa5a7285651929251c3C711F456e209E1,63.15
0xfD6EE60FD62Ff8D36EDdB1Fa5D7Fc75480057672,76.98
0x9Cfea55791123DA6A32e1972C919008a35dB99AB,93.39
0x42bCc5c5594ba438185a54204048D16e59E73a62,97.38
0xE6BF40e81038050D76D658281ed6BCdF752D23BB,108.18
0x7f5ae40d25260757C32C053880A5E3D4DB4f3481,110.38
0xE0075cB3A1a45c3061cd636f9F69cb7c223823C9,181.05
0x838C80B3Fe376B4043781507D76f57C6DB0D7D19,219.79
0xC9C0c7E9d6423A61a82a872B2496F685212e0a56,230.60
0x26ED116FCbfbeb9ab12AD8ABe1c4e088192Bae30,353.12
0xFF0B6Ffc4507812f5380062d91a79E464508BdE1,442.49
0x7d41be7B63db524A57A59E2c8565cfF78e9CA5a8,520.26
0x6760Ff558c1db2231EB2Cf1D16de05B01231193E,5443.57
