recipient,amount
0xA58f6c3Ff171523BE8Ca7094422fc5D1864AE683,0.10
0x8e88687CabFB21Fa7Eea14fc445e705D9640B5f6,0.16
0xeB6918bB6f5f3B1980ADCD2A17CAbcC94afADf2D,0.17
0x622b36e8D8Abd7aa1968Dbf32F17e53EBedD3faE,0.21
0x2Eb3163C68158cFd81AfA9D5818BbFd4bc9439Da,0.26
0xE29E9A8d1CeD43A8B599A1f698a683a8A9258881,0.26
0x9E7157F2Dc96e49d92ed2eB7d97552D6e94f865E,0.35
0x2A914aF869Fe0f28F3EE66b6B96c79080F27320c,0.40
0x8735cbd629DFb8134D6Ed98092DAdaB81D681ad1,0.44
0xB7f577998fFb8DD0f4498A83679A09726d8a9Bbb,0.47
0x82ea4b5A13621e30A47762bc2E34943084979e25,0.47
0x4E82954918A8999C714Eb94E6A5831d5451d4539,0.55
0x6F50142e432B0f6cb851D93430Fd5afaAfa0734a,0.61
0x6da168B10bC3632fd3D594795aD71A8c55E836bb,0.62
0x49D6C45cB1Ff1797d49482C30e106D463ad71311,0.66
0xcCb81fFCD434c757d6f21519C6f5296A96d5b347,0.72
0xD25DDa7D79f32FF50018CAC3EAf6DC2e2Ce30D02,0.77
0x5Abf7CF60F7b9B33E8a5b298CC4eE2C6f5B403FB,0.88
0x5BC19ba62014CfaACfAc1DE2E0d68d7Aaeb8588F,0.91
0x8E8A4aAbb7a2db769dF048190147D2412259e360,0.92
0xb84b77405E4C75D0167D97cA755712D6E6f61Fb3,1.02
0x7Dd1D7aEbb946ca66710323001f3aa3675415bcE,1.22
0xefb984841907c8157163FB1800290BE42B976263,1.24
0xe9DB2846ADccD25a7f86CB7255fADf8bD757A2ab,1.35
0xa0BA97A56634A8cCFDEA0011CFd6E276C60d9602,1.36
0x9C16695c0436834498B836799507F8F499d8f3e9,1.39
0x151DCEf15100C6399cC570B7E58B86c3a8F1b75D,1.47
0xE0C7B01799776728d1F960b65a67A6990d556F07,1.82
0x66B3F102712e1C45f47336743E11aB7dD875FD76,1.83
0xF1230522f6B4D7104C8Aa1F473DAf5d117fB14cc,1.83
0xEC1Ee38e3e451A979bD0232be188C606D0ce0E13,1.87
0xc2e083B019513B914B5a1E910035e76259B59B00,1.92
0x2ae5aabf4C40C27D12DD00c1B0527946D4454090,2.02
0x9182c01E78AEd0cA6D300B313Cde19D266F97AD5,2.24
0x8844E131e0f9fcd2b702152A9D563Df733d5E8F1,2.38
0x24327fE053d68dC8FA810E1091703A273414E491,3.08
0x84D087B770ab58211e8F069CA477cBd3879Eb11d,3.10
0xbEf1E07918EA598eC91a119D0B0E59950309D8aE,3.54
0x3798CC666E5a9Db0fc429105a65C8D6FC8c6d6Ab,3.82
0x10A8f6fcEC6aD125B3acAB3345A6AEdD003Ab666,4.00
0xC9E21134d315930e05C313B798eDaA41c1c63EF4,4.38
0xdC0783F2Cf27f172Ec2C2e987a146C2ce858a2B0,5.15
0xa8767b2E7370Eb6da0e9C34ea91Ee9eE6a3dDD79,5.39
0x5C155B34130051D80dB5d4d7840eC35e6b911602,5.51
0x1ECb4cad2DfBFcC04C8c5adF1535edbABADd8458,6.07
0xC1Be73DbEAAaeF6bc7501d127f9B149853694ed8,6.14
0x0297c7990F733B355AaD0e5b4Cf69dD2AbE25F26,6.34
0x3EDaD94B8354Bf6D2eebaC62c397246A6156f6B4,6.64
0xe94A532507761E342239807bfc3a1fD7F26dEbc2,7.51
0x04a441cAc6e442523669449c61c5ddb33932a364,7.58
0x47cF50b47c956AbF687912B3b377b40d111864f4,8.57
0x16763494C398e72a58B9802b8204E07a62C1C7De,9.51
0x629dEd6b567458C6cEA8A835b18D69eAFC137F62,9.54
0x53F705F19024103F0C31954C3cB92E96b07Ac308,10.22
0x97aA7CC7CAAf10d5afB1E11F6EC9Da6b3B4C6322,10.93
0x965039C64d2029235A3E11E2f05efF7Fb00208DD,12.75
0x6D4E1b0eB1cA83c2A583771E0707fC0D78Bc7A73,13.51
0xe93eC6F690a46842D23989174A1A00Dc5FED5DD6,14.35
0x2a724bE1b63caEC1c3Ef95834fdD443c3347Ee1D,15.00
0x6850fF89367dF9E05aD2a5Fa04ceE2b0F826B0e2,15.63
0x00bdef65125C4a30d7916a05c5C8616e65810Adc,17.98
0x05F1D3f3E707c6c6235A22A1D732De13f5447eF4,18.04
