recipient,amount
0xa1d5f54eCe295e49f8DC8e1620880A09fC45d785,0.11
0x637e3f7B4966Ecd4f924ad505da53FfA232C4901,0.14
0xA4ED922Ad17B9263340e324e81584F0fb7a38D18,0.15
0x622b36e8D8Abd7aa1968Dbf32F17e53EBedD3faE,0.19
0xc9e1CE91d3f782499cFe787b6F1d2AF0Ca76C049,0.20
0x3EB3AfDA3f2c2F654419F01ff3efF937059d3F50,0.22
0x7b8AB2A089cCdb34bD1F388764902B551BbC1Cfe,0.30
0x99e4b3a0217f7e45815CC7726CaEeC63689a016F,0.30
0x9844aF8F03c9B92D3F057473cAD90F2f1a3fFDd8,0.30
0x4a47B44CD543157f37061353a6050f3E9F2577E4,0.35
0x977bD403a5F589EB9219d4Ac0781c0fBEe53E9b8,0.36
0xd9CCd63da9ff5A5F28ACf8239a9a951314ABc486,0.38
0x0b6B6b2850bb8929D831006ff38d61e68cd79420,0.38
0x7b65E9a5C8f5B788D487A227039c8Dc51bFf6e33,0.43
0x8E12C887E21244E53e5A2FB1aa7BBB71f6C96ED1,0.44
0x2df88836C8f262f20B5DC7f29A7ff2d2cA2f2D3B,0.45
0x1E98cD44cd698c95E95A95cC191D4Ef2eAdC0bEF,0.51
0xBAD9efAdbf8085055CC5443614af65e5983cfA5a,0.52
0x01EDd177d8d035F4B56c7DaC9Cd564916D4A2bf2,0.55
0xF3eddce8FB1215c9D9949a804Dc252AE76Be3Daf,0.56
0x46243f110EC85Ec9Bf0cdE1137a14Ea19359159d,0.59
0xBDbC921DE2eb91CB166ee8F9D92977993b416b28,0.66
0x18f7AE252DB4190577173CE416a64812519Ee31E,0.69
0x6A0e1044c9FC03d343Dc44eC1f631C30Cf6c6a6c,0.87
0xa0BA97A56634A8cCFDEA0011CFd6E276C60d9602,0.92
0xACe77f897baa164d0395394bF67B7020491F1e1e,0.94
0x32e0f4ECdDf5ff01d502D0834AAD5E4Bc0bFc3cb,0.98
0x024a63446B2B21b750f7CDE8a0488fADcf5068DE,1.00
0x9e2111DB92c404b2C630A11a6620b615D6E7f21A,1.05
0xD13EB0ED60Dd3091758D8E7713aa9e45Eb53F1E5,1.13
0x871A30f835E293304c153c2EA619316C02658E61,1.24
0x2bE793066FDB6F51Fc11Cdf8A14afE00C9d00CC2,1.30
0xC6F324f6CFEfafbf96C8072463521940b85DcfF4,1.35
0x02AF0411F1Ce321D1c85866AF55f6dc7Ec07e2F4,1.35
0x5Abf7CF60F7b9B33E8a5b298CC4eE2C6f5B403FB,1.40
0xFE0942fDB0aD40b7d2a3198A5844E31b3E54e816,1.49
0x599BB505a3Ac0403fb51e81d2Dd5376F9D19C6d1,1.54
0x9E7157F2Dc96e49d92ed2eB7d97552D6e94f865E,1.83
0xE054730f5F91D4E7d1CB4187a751D6Ec416435B4,1.84
0x9F7E696f19e68A0821cD124b6e2C1f8576dFaD4A,1.96
0x4D8F634F473A8bc25Ac70F25eFe0ED4d53792Bd1,2.16
0x752E5fe4cA41AA32B82a0cB842e3deC13E23f709,2.29
0x55D3b7BAf03c039d635DD22b5b6f109893E8DE87,2.60
0xE8D91c4a91f5CA7857Cc92f79446495BABF98707,2.82
0xf2E8666155003C8df650df6e6E1866810E81a391,3.28
0x737E494f92CC95b36B6a6bD96bEA3BC75fB9A0e7,3.35
0xF66740f3d4aE24F7F8D111A1494b4A16cd09594c,3.50
0x84D087B770ab58211e8F069CA477cBd3879Eb11d,3.52
0x21E502DC531BaD429B82b37bb6a0b70963064897,3.72
0x8e88687CabFB21Fa7Eea14fc445e705D9640B5f6,3.79
0xc74147999890AE1be8F0b1d85D3c70d30b397082,3.98
0xE26F4f4A2649DEbC8A01ECf34d5E57D7cf2f301B,4.05
0x4E5cFA9De65379C11a216355536cf31F40D5684e,4.16
0xB7136e25ea12e2695EEA405651aE649EA856c00F,4.18
0xB119Ce0D8b7B72a52DF9C92F289BFC983F9895D5,4.28
0x55f426Ae6BA58B2FD823D078c79557aB84f425c5,4.49
0xf3511AEc15837107CDBa86b90Cc4e7341fB98218,4.67
0x1d1882B84c40861B285E254915cEc5E78c9dFCE5,4.90
0x8735cbd629DFb8134D6Ed98092DAdaB81D681ad1,5.14
0x20B857c70B72AC28dBcfDb8fdE94fD8e66b6e075,5.24
0x21e088D9B78064D8a1C13D952BDa1Bd05D8c03c3,5.31
0x8e79Ce3D2E960eA7C8C076843D15C7ea9A8ac13B,5.41
0x2a724bE1b63caEC1c3Ef95834fdD443c3347Ee1D,5.94
0xa8a929db1206D42b1a0A2eAA8650E79f1F1F4569,6.97
0x46c232FCf549eE7A493400B94b72a1107Aa8d606,7.07
0xbc10b1120c20b2c40439aAb07b623b9ea14401A5,7.14
0x4742b593094e520E5D1052B079F8AF2e97331639,7.16
0x9983991F2200F24e4dc727FEF87D933cA3Cb7f5B,7.19
0xb11903Ec9E1036F1a3FaFe5815E84D8c1f62e254,8.78
0xE6dA4a9ec4d69a902358B4c583961090e4C0828d,10.88
0x808af82545A721C06D1FcCEbea915a6F5128BeF9,11.09
0x48d84c8EF8a9F4D8C85E329Fb7684299025F43E0,11.70
0x0297c7990F733B355AaD0e5b4Cf69dD2AbE25F26,11.81
0x4E82954918A8999C714Eb94E6A5831d5451d4539,11.90
0x163e5512A1AE49d7B58bc83A239b6952794a6D54,12.19
0xcCb81fFCD434c757d6f21519C6f5296A96d5b347,12.39
0xCf77D12b089635E45BcFFcd4B5c27537AA5094c5,12.71
0xC88541bB78431F0b9268f8Fc5e8eDaCaF84380E8,13.91
0xFfb2D556D654FF461750414d2eBE5808dFF85169,14.19
0x7aE4Bfb51d6da4F7c5e38bc001551490c66e5011,18.71
0x3c067B038c1A89ACbfba1Bbca084db134D22ff76,19.11
0x139d124813afCA73D7d71354bFe46DB3dA59702B,20.31
0x2DA1EF069631cF020a14F76d791A61E7065531b8,20.40
0x8812A4cc6A69919Ac9573d9D93FA24f7363B6043,24.57
0xe7886A82103aef4075D5146537BEd4834843EBcA,24.79
0x1ce19E599f0FB2fC719c5De5774D85A113591745,25.04
0xeE955eA62eb8671da51551E5e0f1775D7f3711F9,25.92
0xa46E40FC5fB553E859fE3c70AE8395664bA24c6E,26.26
0xC4aEC60de553c5db9e4d4f4814C68B32195c2f07,27.30
0xC2e7C3a5675EE1308D56f5E4fD614007e0fcc63b,27.55
0x060eb9Bf04D0c6b26D307E0794373988388366C6,28.61
0x9F9B2b6c8869B8D8EE2eae01a7ee4eBA747331EC,29.25
0x9cFDb49990Fd188eEFf407dAbE794266Ed9BB34C,30.39
0xfFCAF0db510786e998E0729D4726DD4867A074a8,30.56
0xAA6Db4181A382bB4aA399dbBB405515AA2370cb1,31.11
0x00Cbd3f851dEbf7E2D2b2B50AD7fB5754e60Fe79,37.19
0x5ca0c5c0b77d7Ec89Ea11166E0B918b69ff5f0C0,37.20
0x8844E131e0f9fcd2b702152A9D563Df733d5E8F1,40.11
0x8A9683697f7e534D86d9e5e433Ed725047991954,42.01
0xba6FE5d4Cf1F7F285940BB9a569A930Fe4027421,44.23
0x3699fc128ec9A5eACC0D7cAE9523009dD1f7BBB7,47.13
0x1D5Cf0cAE47b16D81a83Ed2460Cb6b6EB2Afd61E,47.48
0xAa3a1d43304704299AbC82e54FDEC0876747fD5e,48.53
0x1b8929A36DFcf2DAba830206EaD1b993c108F8b5,63.58
0x99B5B97F8021adfde4dBd0683aDe62346f8DdE81,65.29
0x9aA63BBa4B0D7dc685E5Ec236D9534AEFA3CA2DC,67.97
0xe2240c28Bc2E65749BD9568Ab677e9235C0aEC36,75.10
0xb0B75B2263513B257351342bAEb2171b7D370373,85.08
0x62e025997C6F0079acA5E78c14C6Be44b3e3A187,86.48
0x4F7D9eBe792cb4F4729dE9328A8889c1E49B37B0,86.49
0xCd43d6687faD92A84d19b24183Ddce3a62485fE0,91.88
0xf2d83482f8C835423C2901b1c67081f726E39B25,97.76
0x5DDd4C4D66137B1e02781c84aF254a4340E9e365,100.65
0xEc688333867C14DFf136a6E0287594d5E0Eeb207,118.86
0xDea3efaAC577f2E451bC26961Bb6E30F799ff6a0,122.37
0x66692fe61897edBCe11119eD0aB5469f6022eB45,168.39
0x5979CD0C76f4FC04636c19c49E38eCB3462Fdeb2,174.45
0xadF75da77417E0B9E7ffA0fe6D8e9414e8baA685,184.96
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,187.28
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,260.68
0x52A889874C529FFE5a3881DAf452FE57Cd1c4bC5,300.30
0x2c0b2EcF067D9fd5f1ddCE593BC68E42f9315b50,405.37
0xBf9Eb7B9197b1de1B9ca196dcdd7a61b02d3B229,456.25
0x0Bd27FAc898a59680b9dc92bB7378Df610825E8D,545.48
0x92d78E32B990D10AECa0875dC5585f1a6f958179,564.95
0xF80C37550A04F4d0227F180D490FaDB4F55C249b,569.05
0xCc5B1feF95f632c4A25f95ad88bFe12f928D04cB,1041.99
0x89F41B5a5f30053E2cdc731C0A28509A007C2EA0,1153.27
0x96E0ACb28f48f1775dec407Ea45DeB3e9065b131,1431.28
0xb77B61cf2ed4629217c8237A13fa094162D462e1,1624.24
0xddDD17469FbBfF3386E9Dc358439a05496b3C66D,2108.57
