recipient,amount
0xebD65d1b26f715fc87CAF1c12f0CAd36cE44fdf5,0.14
0xa0067A9Ea8377dd27950007b44fb790405cD2f12,0.14
0x2b49809813Bb676819F7c8011B0db971cdA57E7b,0.15
0x5688D6bf4e6b49b83f017AAF4F76224B0CbcA41b,0.58
0xA951d4Fce3E6ee209C855421aeC8A37Af33b8C07,0.70
0x661aB60b9c4637ADdC475F65de417c478da11A26,0.88
0xd6569809f2F05BeEeDA51FD7f01b3489EF759975,3.94
0x81762E633e2ff343422e65A5D67Ec6AcE60Bbe65,4.36
0x5fb26bC79a361Ef36a7b4eae36FEe62cFa52f64e,4.41
0x7bA3c3BFC0F95cc5eF4Aa0B58b51F6eEcc24ce45,4.55
0xbfb496ACb99299e9eCE84B3FD1B3fDd0f6CDDf49,5.11
0x26Cb1DBAd7349B57af814A22718D04d0fCdfbeB1,5.61
0xAeb055eDd6B843aff4843AF84C687Ab25c9cC885,5.70
0x7676b134E88bACB4e0C6c9b34d80C94c77E89232,6.95
0xACf19E0Cb91017E74c5B788110E0b203736235fE,7.12
0x83bACd979A331a97d65fE5bf3fD1373F5c27B372,7.36
0x97c53A310a94bad23877e950b9Ec26C1c7D19F4b,7.38
0xbA8D35B178C8CB9F1f29D86c94B5fD8aa5EFf462,16.40
0xF55ec984218afF3648E5176FAbB03F7Dbc6C4696,22.12
0xd3DdC8461663e8eC49A4d6bcF54C70734167dB1C,23.93
0x402904E954aebEE2E78b7B09595393cf05571333,29.11
0xCef13dAa45cA6CA8B1af80E20280c7E5f6016B3c,30.14
0x81Fe712bACD1a1f06601946469AD1ab631abeA04,32.34
0x17ae2F9eb1Bb329C0f0B56187f76e9400DDCf172,34.75
0x5C5082eE760e4F4e6dA47bee7311137B593c077b,40.71
0xc1272aa47B2B0fBFCA527Da221F02c7b274A02e8,49.30
0x15ea23Caa5a7285651929251c3C711F456e209E1,52.92
0xfD6EE60FD62Ff8D36EDdB1Fa5D7Fc75480057672,64.50
0x42bCc5c5594ba438185a54204048D16e59E73a62,81.36
0x7f5ae40d25260757C32C053880A5E3D4DB4f3481,92.48
0xE6BF40e81038050D76D658281ed6BCdF752D23BB,119.79
0xE0075cB3A1a45c3061cd636f9F69cb7c223823C9,151.70
0x838C80B3Fe376B4043781507D76f57C6DB0D7D19,184.16
0xC9C0c7E9d6423A61a82a872B2496F685212e0a56,200.02
0x9Cfea55791123DA6A32e1972C919008a35dB99AB,258.85
0x26ED116FCbfbeb9ab12AD8ABe1c4e088192Bae30,369.39
0x7d41be7B63db524A57A59E2c8565cfF78e9CA5a8,420.83
0xFF0B6Ffc4507812f5380062d91a79E464508BdE1,489.41
0x6760Ff558c1db2231EB2Cf1D16de05B01231193E,5620.45
