#,address,fsGLP_distribution,eth_glv_distribution,btc_glv_distribution
1,0x69ce8721790edbdcd2b4155d853d99d2680477b0,819469.528490799712017179,362340.508630451106000692,333362.726263132644817233
2,0xcb89e891c581fbe0bea4fac2ba9829d816515a81,267598.665555481449700892,118322.687073887602309696,108859.960733674888615496
3,0xa827150caaebabcb696b9b44d16c2367dd03828b,115597.230684122012462467,51113.016294206972816028,47025.309214727931248490
4,0x11d67fa925877813b744abc0917900c2b1d6eb81,48203.184821383103553671,21313.747367707874218468,19609.203939792783785379
5,0xa9a5f6a3777d128d7abf2ff972ca146a13a3fca3,26785.071273013483732939,11843.413344045473422739,10896.249430004692840157
6,0xc87374d34e66289005324ae0457fca898e823c68,14444.715156637428663089,6386.943327248748573766,5876.154582073771052819
7,0xced29ba48490c51e4348e654c313ac97762beccc,13634.425693810539087281,6028.661919715135809383,5546.526334776112889813
8,0xf9748b92ca6b8e220fd220f56ce527869e34bb66,10408.082212459114089143,4602.086681216147553641,4234.039876877669485111
9,0x1b5b7b514771beec3c83add7e0165166dbc77320,10329.109695925024425378,4567.167821131761229481,4201.913614098686593934
10,0x19de5bf0977f858c530e8ec53242680386537d89,9823.29855452759511536,4343.515983115978997375,3996.148085048380835360
11,0x4b4d897cc153a5923730e86aa58ae30816229a7a,11193.231256459870564868,4949.251882682379800826,4553.440924422444368247
12,0x3c01d937a899f95fbb26f478ae2d157d715293f9,10945.837423658658735803,4839.863059678408717446,4452.800351837415291811
13,0x30d14e0245063fc2c39f9d0720c2109719968e85,10648.510937343506157049,4708.395779279163434694,4331.847022125693001726
14,0xb80ebc2e6f0ae48d801471f563526efa47b1e236,6885.955516487612840137,3044.726542603584221069,2801.227896942772076727
15,0xd8c8f8e07f779c34aec474ba1a04e20e792b5c5f,8931.185299682727418258,3949.054982092820864636,3633.233667329552190495
16,0x7453275ad8cacf3a44d19bd10e5b6a2832b05fc3,6698.388974762045108946,2961.791236569615193730,2724.925250497163688124
17,0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,4346.013738974118496117,1921.653916277974531113,1767.971764697176695336
18,0xecca7559a64d3005c8c0cbeef7ce04dc2c8ff814,5648.974702049325060216,2497.777276173709196883,2298.020294585941428522
19,0xec9ebe950cad79fde4139714283145137ce24aad,4131.643878370009588252,1826.867128452704264419,1680.765445639474364725
20,0xff2779e68e24b725c625f514acb36736a23391e8,5563.243853778438278823,2459.870120278599188168,2263.144721656380625063
21,0x6c68601d1063b963f1dff2a1cd138d7f6e96963d,4465.592649841363709129,1974.527491046410432318,1816.616833664776095247
22,0x689dcb6c727a18c60c42635f99c78bef67367ff0,4418.910808442484267289,1953.886428056029672007,1797.626516911480848648
23,0xdc308f2d2f00889041e74b9c3d6e6b8ad57d81de,2788.859617899756813131,1233.135311705575531960,1134.516675806645480407
24,0x31a636802504bac68a69a639c66e246c6f1cc6b4,3014.519195401512206445,1332.914013959343037641,1226.315686444557513823
25,0x1ef91043d3cdb315a5c97a03b843e6095ba6ea02,2395.625269461758762191,1059.260959005238419195,974.547732608692854228
26,0x7f677cff258702ddb349d227e46991d5a3277b4d,2058.522288502163519297,910.205916279372900135,837.413202455896339416
27,0x2807cc96ca226b4f6bb47a81f67d1905d8c2a1e2,2083.741773875002763816,921.357082783662804104,847.672566723322233884
28,0x52eb4bd04dea22dc589cc973a96d9e1f9e423c12,2065.821939185004794126,913.433564226352132209,840.382722819737182363
29,0xa611cb6409771c9c5c2949fedd722023e4961ce2,2058.935866054388498014,910.388785678931185430,837.581447077004895618
30,0x09d1d343a163e891b4c15128a39a2f4df714d370,2110.137898614739242475,933.028517695566620205,858.410591506533023676
31,0xe34c1bf99bf238bd7bc7a42498273f69b430abe6,2485.015230630016958457,1098.786045503346940677,1010.911843926519281922
