recipient,amount
0x60A71287353f3ac632F3e75Fd1be532850aA5f4D,10.80
0xDea3efaAC577f2E451bC26961Bb6E30F799ff6a0,10.89
0x2c812dAf5B0297B935A287Ad27340F2B37939F2c,11.02
0x7b2236e6c265731bFC067eC66eD0936434e1cD1b,11.26
0x8e79Ce3D2E960eA7C8C076843D15C7ea9A8ac13B,11.93
0x73332479DB4259F786b9Bdac8dC4DCb3dC8259E8,12.35
0x4688ABCBa963b8154c5a1E1203d7E14fe1a655C9,12.64
0x5739B88109F79121b31AE690211326eeBfFC67Ce,12.74
0x029ee037eD5108883544e11a336aF40D1D3d7c5E,13.52
0x2F921590f1D0a6E599c1940a9958766904bA0Bd8,13.87
0x871A30f835E293304c153c2EA619316C02658E61,14.69
0x6bDd8924354b66cE1120F5fA9f750DD4d8529905,16.36
0xE90E59D9c02126823A213F49ccdd35EFE3799c5d,18.41
0x880Ae851004680BadBFc5d076242350cb564bF30,18.72
0x632Fd6D5E53A8661e751a964c9d7c9aa63Ecaa5A,22.19
0x4d180AF22cd72b8c6593656a0e123E0C4760e6ac,23.20
0x9d7b2CF7daD4A5FA54E3d4CC3A623aC8e2d2d528,23.44
0x647a870632b75a92c09877AC262c91566eBA2165,29.01
0x8812A4cc6A69919Ac9573d9D93FA24f7363B6043,33.64
0x62e025997C6F0079acA5E78c14C6Be44b3e3A187,39.09
0x3798CC666E5a9Db0fc429105a65C8D6FC8c6d6Ab,41.94
0xAb42D5778423cd7Eb08bA08aA3Dac3c0acBaa019,42.21
0x397d74841f540d7998517c90E68eac7de33F7a23,43.72
0x9182c01E78AEd0cA6D300B313Cde19D266F97AD5,44.48
0xe7D96B5FdaB3DCb6AB5Cb8B14b291E03A8AC496b,44.65
0x8A9683697f7e534D86d9e5e433Ed725047991954,47.86
0x60D359567615d97D8277733cb18fE0f3c55e5d48,50.57
0x9F9B2b6c8869B8D8EE2eae01a7ee4eBA747331EC,51.38
0x3BCb89C62Bf212feBC54C1E544b9452aE844532d,54.17
0xadF75da77417E0B9E7ffA0fe6D8e9414e8baA685,55.14
0x96aE4C1C6B5171C5b0cad5441e354Fa0d100Ce3A,60.29
0xd84136815040cF14cab6f47C3683b025D9dE3AE4,69.09
0x7aE4Bfb51d6da4F7c5e38bc001551490c66e5011,73.88
0xF1f1FAAeeb95254832C44FfcF5De91200E74fb6D,85.96
0xb11903Ec9E1036F1a3FaFe5815E84D8c1f62e254,93.45
0x8355be55CCF2dEE00ab5cC6d62f81eA97A8fF35D,100.85
0x466F1D089a5230C24e3724FfC71472df5826542C,103.13
0xa6090ccb622f4773A0706DB1E441a4f20735eA8e,116.46
0xb999964cD5Cfa721Cd1788bE3B52d54F7210fA3E,129.98
0x469594447B92Ddc7f84d1d4ca424D32319e719e2,130.38
0x144b277dEB121CD362241F09341952872ebE9429,139.31
0xaD1Bf2A7BE2545F73ea21f592700cd4c805CaDC8,148.80
0xba6FE5d4Cf1F7F285940BB9a569A930Fe4027421,154.43
0x887CB8fDE1bb7591e44722c91F752f8180D8905b,157.09
0x4C3159F83Eb4E6fF6b93EfAe4229C0B8A4095e65,158.05
0x943763EB0d7cFe2a74Cc84554C5b0eBF52AEdE2a,171.55
0xCc5B1feF95f632c4A25f95ad88bFe12f928D04cB,179.00
0x3C517Eb5425e49718A31eaEa27461cfB76D55f68,229.54
0xF80C37550A04F4d0227F180D490FaDB4F55C249b,253.42
0x14C3D62F2dC720144De03589A5bE870a6f08D41E,254.61
0x96E0ACb28f48f1775dec407Ea45DeB3e9065b131,256.65
0xf2d83482f8C835423C2901b1c67081f726E39B25,300.07
0x0DFb4E1E64B2c0B2172AE59c60FbE9dE4Ea8AA18,347.97
0x8e54e41BBa618C58aAaCBEbF3397d3ADD9ee0bC8,371.00
0x2c0b2EcF067D9fd5f1ddCE593BC68E42f9315b50,376.88
0x0Bd27FAc898a59680b9dc92bB7378Df610825E8D,392.41
0x8fBac79cF0da35b1CE9d8A46Ce523b79bC3019F4,409.50
0x5CE6f3798B9ca0797E1027E9b86E7dF0Ba61E593,443.01
0x9ba3592EBD05eb30c67372F01538eF2beb2DB99f,454.57
0xed52C0906FaAb283445b2c551fA8784685Ca6769,479.70
0xBc43e519f68c8b8d0605D45A2f298b3D86ff5c5F,517.64
0xaD4fE7D222f0CFEf87B7eB57B539B97DE75Fbf01,783.08
0xE688A6539A4DeeA30791ea54A599e0D391749fD7,793.90
0x9AcF76F266EAC3f1a8e0d0350a7826332E4caC15,818.86
0x4Cd80aa0CE4881Eb8679EdA1f6fbe3d89AEc0F7F,1108.27
0x5FB8758411E681070c263ca63267B7C7E541A695,1215.31
0x60fe5Cbd886A778f584FFCC63833B068104D1f77,1241.60
0xb77B61cf2ed4629217c8237A13fa094162D462e1,2469.67
0x91Eb12839003631e3a1550f0b4B59148bE822dcA,2722.57
0xEAf9A74BA2928A903366bD42339f1bbf1cbdaa59,5174.67
