account,glv,is_eligible_per_market,is_eligible_label,glv_eligible_for_claim,glv_eligible_for_claim_raw,share,Share in USD
0x2e15d7aa0650de1009710fdd45c3468d75ae1392,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,39578.87562,3.96E+22,0.00487209385,"$1,218.02346244"
0x7a8feaadba4360697228aa9b2a5ebaa769f68905,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,38842.66596,3.88E+22,0.004781467664,"$1,195.36691598"
0xc6b0d14c6ae90cef1aaf5778293e5f9fa789429b,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,37702.10036,3.77E+22,0.004641065933,"$1,160.26648315"
0x60c7b49a3a58c3f9ce26edec41c84b168fe8c1f2,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,36537.15575,3.65E+22,0.004497663186,"$1,124.41579641"
0x724905cd0c57ba25a0e227552b0d9c87dc0f0d05,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,33997.65425,3.40E+22,0.004185054769,"$1,046.26369228"
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,32980.90545,3.30E+22,0.00405989468,"$1,014.97367010"
0x393a06301e1c3ed34c0497e9c46bf251a2794b79,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,31386.93829,3.14E+22,0.003863679972,$965.91999288
0xa738a11566098406abb35ba17a9de8817ea41791,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,31218.27414,3.12E+22,0.003842917694,$960.72942352
0xff91060d45d0b9b854ecb3073ff0b642b8e4a9e2,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,30718.30543,3.07E+22,0.003781372376,$945.34309411
0x09d4cc177663c056be397b993c853e83f1ba3935,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,30531.55967,3.05E+22,0.003758384283,$939.59607083
0x954adb2b3cbc3b6cb98f1188b7f73bf5a64a697c,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,28997.24435,2.90E+22,0.003569512616,$892.37815403
0x622caa604bce95e576fbc23a78a34a0637670c62,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,28869.82976,2.89E+22,0.003553828092,$888.45702289
0x7b51ca5c132dd2ccd6da0c828a3825cfe1430106,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,28218.59208,2.82E+22,0.003473661815,$868.41545380
0xf24cee215323cdef2b0d170292d3ed1bd260ffd0,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,27414.64966,2.74E+22,0.003374697838,$843.67445951
0x6b92686c40747c85809a6772d0eda8e22a77c60c,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,27099.2311,2.71E+22,0.003335870337,$833.96758435
