account,glv,is_eligible_per_market,is_eligible_label,glv_eligible_for_claim,glv_eligible_for_claim_raw,share,Share in USD
0x7a8feaadba4360697228aa9b2a5ebaa769f68905,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,35736.26688,3.57E+22,0.005015979646,"$1,253.99491154"
0xc6b0d14c6ae90cef1aaf5778293e5f9fa789429b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,34686.91674,3.47E+22,0.004868691768,"$1,217.17294200"
0x60c7b49a3a58c3f9ce26edec41c84b168fe8c1f2,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,33615.13728,3.36E+22,0.004718255686,"$1,179.56392158"
0x724905cd0c57ba25a0e227552b0d9c87dc0f0d05,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,31278.7296,3.13E+22,0.00439031507,"$1,097.57876741"
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,30343.29392,3.03E+22,0.004259016344,"$1,064.75408611"
0x393a06301e1c3ed34c0497e9c46bf251a2794b79,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,28876.80275,2.89E+22,0.004053178116,"$1,013.29452893"
0xa738a11566098406abb35ba17a9de8817ea41791,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,28721.62732,2.87E+22,0.004031397531,"$1,007.84938277"
0xff91060d45d0b9b854ecb3073ff0b642b8e4a9e2,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,28261.64306,2.83E+22,0.00396683366,$991.70841506
0x09d4cc177663c056be397b993c853e83f1ba3935,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,28089.83208,2.81E+22,0.003942718093,$985.67952314
0x954adb2b3cbc3b6cb98f1188b7f73bf5a64a697c,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,26678.22193,2.67E+22,0.003744583021,$936.14575522
0x622caa604bce95e576fbc23a78a34a0637670c62,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,26560.99718,2.66E+22,0.003728129233,$932.03230818
0x7b51ca5c132dd2ccd6da0c828a3825cfe1430106,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,25961.84151,2.60E+22,0.003644031119,$911.00777979
0xf24cee215323cdef2b0d170292d3ed1bd260ffd0,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,25222.19349,2.52E+22,0.003540213352,$885.05333807
0x6b92686c40747c85809a6772d0eda8e22a77c60c,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,24932.00018,2.49E+22,0.003499481517,$874.87037928
0xbd1b3513bb0ce1529242cfb28926618809592362,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,24526.50828,2.45E+22,0.003442566252,$860.64156300
