farmer_address,position_count,total_glp_amount
0x500dd643792a3d283c0d3db3af9b69ad6b862aae,1,397.3312891209754
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,26,666899.9613746288
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,16,884534.4296743588
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,4,54862.59427045401
