rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
39,0.00041137745940539793,1.0000000000000009,3307225.1518793274,3373254.04556872,GLV,CONTRACT,0xefa09a1fc3220632e494a2192b98ab25f7d4ff76,1042.6307529737396,0.000032254849062614196,1387.6806791950405,true,,false,,,1387.6806791950405
40,0.0004087973281629701,1.0000000000000009,3308604.129120371,3373254.04556872,GLV,CONTRACT,0x94c72b1adf52c3cc03d556c0abdb79b6123c961b,1036.0914443204365,0.00003205254885903344,1378.9772410434225,true,,false,,,1378.9772410434225
41,0.0004042614568587862,1.0000000000000009,3309967.8057151875,3373254.04556872,GLV,CONTRACT,0x878737ef4f32d91e25f5a6e723b1c83607fd2e53,1024.5953382379378,0.00003169690505566278,1363.6765948164052,true,,false,,,1363.6765948164052
42,0.0003961148930856539,1.0000000000000009,3311304.0018807985,3373254.04556872,GLV,CONTRACT,0xc93b2a614453ad041f0143dcb9b05448505def01,1003.9479796461312,0.00003105815789323647,1336.196165611203,true,,false,,,1336.196165611203
43,0.0003945936858729461,1.0000000000000009,3312635.0666280254,3373254.04556872,GLV,CONTRACT,0xe12d014dd1941155110c58e26f4ebcbae3438b82,1000.0925000000001,0.000030938884685827947,1331.064747226788,true,,false,,,1331.064747226788
44,0.0003882415663315657,1.0000000000000009,3313944.7040623114,3373254.04556872,GLV,CONTRACT,0x477356802a5964fefed73f87ae6e3fa32d351d38,983.9931366805288,0.000030440834410222066,1309.6374342858905,true,,false,,,1309.6374342858905
45,0.00037030477072250693,1.0000000000000009,3315193.8361282446,3373254.04556872,GLV,CONTRACT,0xb3a3b109fa0811c563d691c088324a4f8f7a7429,938.5325644390648,0.00002903446509705313,1249.1320659330938,true,,false,,,1249.1320659330938
46,0.0003672126573937212,1.0000000000000009,3316432.537710382,3373254.04556872,GLV,CONTRACT,0x3b497c34f4aed64e648ea40ca8b58c52357e7934,930.6956439307515,0.00002879202194314616,1238.7015821374105,true,,false,,,1238.7015821374105
47,0.0003577576240371719,1.0000000000000009,3317639.3450629986,3373254.04556872,GLV,CONTRACT,0x8ec6f31b7831a6b380c256ad8bed022bdd9ee2b9,906.731986412472,0.000028050681680511732,1206.8073526164433,true,,false,,,1206.8073526164433
48,0.00033532014408347747,1.0000000000000009,3318770.465095589,3373254.04556872,GLV,CONTRACT,0x5e199ec31375271995f4081a94c05914fd6ca76b,849.8644889740681,0.000026291427465908187,1131.1200325902764,true,,false,,,1131.1200325902764
49,0.0003255724777776982,1.0000000000000009,3319868.7037733784,3373254.04556872,GLV,CONTRACT,0x3477df28ce70cecf61fffa7a95be4bec3b3c7e75,825.1591570999753,0.000025527142748266906,1098.2386777894526,true,,false,,,1098.2386777894526
50,0.0003128221200330048,1.0000000000000009,3320923.932255323,3373254.04556872,GLV,CONTRACT,0x5dc1c7a64fdbccedb565b2e9e39c8b4bb94ec2c7,792.8435433197524,0.000024527426173751976,1055.228481944717,true,,false,,,1055.228481944717
