rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
11,0.018626360745037266,1.0000000000000004,816278.5058477311,883897.6891519233,USDC,EOA,0x2b87fa19a67fde3bdba545f0b34558b795471e26,12370.03696130944,0.0003826797492285786,16463.797219848537,false,,false,,,16463.797219848537
12,0.017982579829356627,1.0000000000000004,832173.2666038894,883897.6891519233,USDC,EOA,0x6f2cd514f338afd602b7b24be4bb65e5cade8287,11942.492695901774,0.0003694532299560765,15894.760756158308,false,,false,,,15894.760756158308
13,0.010007323995471046,1.0000000000000004,841018.7171580809,883897.6891519233,USDC,EOA,0xf1520a9316a111a64d4944dbb229c924fff8cd20,6646.009352135955,0.00020560109886502337,8845.45055419145,false,,false,,,8845.45055419145
14,0.008819524602157526,1.0000000000000004,848814.2745733465,883897.6891519233,USDC,EOA,0x3def3d5806dba977125d6c56656e28e3aa7cbe78,5857.174506777129,0.00018119768586400632,7795.557415265573,false,,false,,,7795.557415265573
15,0.008334445133930238,1.0000000000000004,856181.0713675909,883897.6891519233,USDC,EOA,0x1e79ae5db7c7ff66a5fa86e0003483a1703dfea7,5535.026179829117,0.00017123169777872726,7366.796794244428,false,,false,,,7366.796794244428
16,0.006742424442074688,1.0000000000000004,862140.6847512221,883897.6891519233,USDC,EOA,0x8ed3408bb143119de2b681bd03eed1991ce71cb0,4477.742093528491,0.00013852353285776642,5959.613383631262,false,,false,,,5959.613383631262
17,0.0044475154019345195,1.0000000000000004,866071.8333374596,883897.6891519233,USDC,EOA,0x4c28ef50f6485d74f6292646308d7709f731e990,2953.6596365224614,0.00009137448275589798,3931.148586237509,false,,false,,,3931.148586237509
18,0.003300132383861942,1.0000000000000004,868988.8127254506,883897.6891519233,USDC,EOA,0xf4c9132dce062c607b28a42fa6d097cc5757b795,2191.665893535489,0.00006780142671798514,2916.9793879909985,false,,false,,,2916.9793879909985
19,0.0028628013559966795,1.0000000000000004,871519.236228517,883897.6891519233,USDC,EOA,0xa40eb69d2adbd34ea73ea1dfd049f825e8216eb0,1901.228,0.00005881643333338395,2530.4235030664577,false,,false,,,2530.4235030664577
20,0.002347947579516951,1.0000000000000004,873594.581668302,883897.6891519233,USDC,EOA,0x9cbc9496af2606446a15f85535bccd1f7d20ead5,1559.3061220818533,0.0000482387302184508,2075.3454397848845,false,,false,,,2075.3454397848845
21,0.0020624689195224834,1.0000000000000004,875417.5931802156,883897.6891519233,USDC,EOA,0x8ab1d7b436a274382af6db0ef3bfc7076e6967b7,1369.7155936831405,0.00004237355325166726,1823.011511913587,false,,false,,,1823.011511913587
22,0.002045306332647338,1.0000000000000004,877225.4347212503,883897.6891519233,USDC,EOA,0x45fae7f160c050e91daa0dc83d50f86660b40d8d,1358.3176702292099,0.000042020946828362364,1807.8415410347768,false,,false,,,1807.8415410347768
23,0.0016771603133023613,1.0000000000000004,878707.8728465156,883897.6891519233,USDC,EOA,0xbb2a6e6021398d52513b913cef886620e414d1da,1113.8265466655453,0.000034457363781149503,1482.438125265273,false,,false,,,1482.438125265273
24,0.0011133508001755499,1.0000000000000004,879691.9610460062,883897.6891519233,USDC,EOA,0x239a6cbbd3145be70e028818935fb85c9ac40e5a,739.3924523202635,0.000022873861987674306,984.0881994906133,false,,false,,,984.0881994906133
25,0.0010813309662597846,1.0000000000000004,880647.7469882916,883897.6891519233,USDC,EOA,0x4dbe79e5ee0652eb1c32ad7c8119408f3d16a2e0,718.1276151116027,0.00002221601249249095,955.78594228544,false,,false,,,955.78594228544
