rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
1,0.6875260935773359,0.9999999999999999,9034276.906985467,13140267.680573862,USDC,CONTRACT,0x85667409a723684fe1e57dd1abde8d88c2f54214,6787883.607032344,0.20999012409231696,9034276.906985467,true,MagicGlpRewardHandler,false,,,9034276.906985467
2,0.16660644424684068,0.9999999999999999,11223530.181697559,13140267.680573862,USDC,CONTRACT,0x64ecc55a4f5d61ead9b966bcb59d777593afbd6f,1644869.3071621228,0.050885714888919395,2189253.274712092,true,GlpStrategy,true,120.12540393343419,28.229469924357034,2189225.0452421675
3,0.12531037969243233,0.9999999999999999,12870142.114010466,13140267.680573862,USDC,CONTRACT,0xdb8d4639de19be6be5a5efe8279744c7e236b48d,1237178.1668379428,0.03827337235268049,1646611.932312908,true,BeefyVaultV7,false,,,1646611.932312908
4,0.018840316154033365,0.9999999999999999,13117708.911461104,13140267.680573862,USDC,CONTRACT,0xbe5958f1dbb48a60efd0a9d8d26917641d3b50ef,186008.75569369877,0.005754371163629052,247566.79745063826,true,GmxDepositor,false,,,247566.79745063826
5,0.0017167663293576197,0.9999999999999999,13140267.680573858,13140267.680573862,USDC,CONTRACT,0x5a446ba4d4bf482a3e63648e76e9404e784f7bbc,16949.480365927193,0.000524349516195878,22558.76911275535,true,IncentiveReceiver,false,,,22558.76911275535
